地区,休止開始日,休止終了日
地区1,2015/12/28,2016/01/04
地区2,2015/12/28,2016/01/04
地区3,2015/12/29,2016/01/04
地区4,2015/12/29,2016/01/04
地区5,2015/12/29,2016/01/05
地区6,2015/12/29,2016/01/05
地区7,2015/12/29,2016/01/04
地区8,2015/12/30,2016/01/05
地区9,2015/12/30,2016/01/06
地区10,2015/12/28,2016/01/04
地区11,2015/12/28,2016/01/04
地区12,2015/12/30,2016/01/06
地区13,2015/12/30,2016/01/06
地区14,2015/12/28,2016/01/04
地区15,2015/12/29,2016/01/04
地区16,2015/12/30,2016/01/04
地区17,2015/12/29,2016/01/04
地区18,2015/12/29,2016/01/05
地区19,2015/12/30,2016/01/05
地区20,2015/12/30,2016/01/05
地区21,2015/12/30,2016/01/04
地区22,2015/12/30,2016/01/04
地区23,2015/12/30,2016/01/04
地区24,2015/12/30,2016/01/04
地区25,2015/12/30,2016/01/04
地区26,2015/12/30,2016/01/04
