Area,Center,General Garbage,Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers
Honmachi 1 chome,East Management Center,Mon Thu,Tue1,Tue3
Honmachi 2 chome,East Management Center,Mon Thu,Tue1,Tue3
Honmachi 3 chome,East Management Center,Tue Fri,Wed1,Wed3
Honmachi 4 chome,East Management Center,Tue Fri,Wed1,Wed3
Honmachi 5 chome,East Management Center,Wed Sat,Thu1,Thu3
Honmachi 6 chome,East Management Center,Wed Sat,Thu1,Thu3
Wakamatsumachi,East Management Center,Mon Thu,Tue1,Tue3
Yokomiyamachi,East Management Center,Mon Thu,Tue1,Tue3
Oshino,East Management Center,Mon Thu,Tue1,Tue3
Takahashimachi,East Management Center,Mon Thu,Tue2,Tue4
Ogigaoka,East Management Center,Mon Thu,Tue2,Tue4
Sumiyoshimachi,East Management Center,Mon Thu,Tue2,Tue4
Sugaharamachi,East Management Center,Mon Thu,Tue2,Tue4
Sugaharadanchi,East Management Center,Mon Thu,Tue2,Tue4
Hakusanmachi,East Management Center,Tue Fri,Wed1,Wed3
Awada,East Management Center,Tue Fri,Wed1,Wed3
Yahagi,East Management Center,Tue Fri,Wed1,Wed3
Toheida,East Management Center,Tue Fri,Wed1,Wed3
Shimobayashi,East Management Center,Tue Fri,Wed1,Wed3
Nakabayashi,East Management Center,Tue Fri,Wed2,Wed4
Shinjo,East Management Center,Tue Fri,Wed2,Wed4
Fujihira,East Management Center,Tue Fri,Wed2,Wed4
Kanbayashi,East Management Center,Tue Fri,Wed2,Wed4
Kiyokane,East Management Center,Tue Fri,Wed2,Wed4
Suematsu,East Management Center,Tue Fri,Wed2,Wed4
Yanagimachi,East Management Center,Tue Fri,Wed2,Wed4
Sanno,East Management Center,Wed Sat,Thu1,Thu3
Kuraigawa,East Management Center,Wed Sat,Thu1,Thu3
Taheiji,East Management Center,Wed Sat,Thu1,Thu3
Inari,East Management Center,Wed Sat,Thu1,Thu3
Horiuchi,East Management Center,Wed Sat,Thu1,Thu3
Oshikoshi,East Management Center,Wed Sat,Thu1,Thu3
Tajirimachi,East Management Center,Wed Sat,Thu2,Thu4
Mikkaichimachi,East Management Center,Wed Sat,Thu2,Thu4
Futsukaichimachi,East Management Center,Wed Sat,Thu2,Thu4
Tokumotomachi,East Management Center,Wed Sat,Thu2,Thu4
Gomachi,East Management Center,Wed Sat,Thu2,Thu4
Rengejimachi,East Management Center,Wed Sat,Thu2,Thu4
Nagaike,East Management Center,Wed Sat,Thu2,Thu4
Noshiro,East Management Center,Wed Sat,Thu2,Thu4
Asunarodanchi,East Management Center,Wed Sat,Thu2,Thu4
Okyozuka,East Management Center,Wed Sat,Thu2,Thu4
