type,name,notice,furigana
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,18-liter squaire cans,Make it empty. *Plastic Containers are Oversized Burnable Garbage.,1
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,1.8L sake bottles,Please return to a retail store if possible.,1
General Garbage,Aluminum foil,,A
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Attache case (metal),It is Oversized Burnable Garbage unless it is made of metal.,A
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Antenna,Outdoor antenna should be broken down. When purchasing a new one&#44; have the store dispose of it.. ,A
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Aluminum cans,Rinse the inside out with water and remove the lid.,A
General Garbage,Artificial flowers,,A
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Ashtray,,A
General Garbage,Air pump (plastic),If it is not made of plastic&#44; it is Non-burnable.,A
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Air pump (non-plastic),If it is made of plastic it is General Garbarge.,A
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Briefcase (non-metal),Metal items are Non-burnable Garbage.,B
General Garbage,Back carbon paper,,B
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Branch (self cut),Cut and make bundles smaller than 10cm x 1m.,B
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Bedpan,Rinse with water.,B
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Box cutters and blades,Please wrap the blade in paper or cloth.,B
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Bags (metal ),It is Oversized Burnable Garbage unless it is made of metal.,B
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Batteries,Separate from other Non-burnable Garbage when throwing out. *Have a retailer dispose of button and Nickel rechargeable batteries.,B
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Bags (items not made of metal),Metal items are Non-burnable Garbage.,B
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Bicycles and bicycle parts,Label to show it is for disposal.,B
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Bamboo blinds,Roll up and bind with string. Put with Oversized Burnable Garbage.,B
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Bottle openers,,B
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Binoculars,,B
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Batteries (other than rechargable battery),Separate from other Non-burnable Garbage when throwing out. Have a retailer dispose of button and Nickel rechargeable batteries.,B
General Garbage,Bird cages (non-metal),Metal items are Non-burnable Garbage.,B
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Bird cages (non-metal),Metal items are Non-burnable Garbage.,B
General Garbage,Boots,,B
General Garbage,Bag,Metal items are Non-burnable Garbage.,B
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Bucket (metal),It is Oversized Burnable Garbage unless it is made of metal.,B
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Bags (metal),,B
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Bats,Metal items are Non-burnable Garbage.,B
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Bats (metal),,B
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Buckets (non-metal),Metal items are Non-burnable Garbage.,B
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Bags (metal),Metal items are Non-burnable Garbage.,B
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Beach umbrellas,Break down to make it as small as possible.,B
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Beer bottles,Please return to a retail store if possible.,B
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Braziers,,B
General Garbage,Boots,,B
General Garbage,Bath mats,For large items place with Oversized Burnable Garbage.,B
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Blinds,Bind blinds with string.,B
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Bathmats (large size),,B
General Garbage,Belts (trouser),If it has metal fittings&#44; place with Non-burnable Garbage.,B
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Bathroom scales,,B
General Garbage,Brooms,,B
General Garbage,Ballpoint pens,Metal items are Non-burnable Garbage.,B
General Garbage,Buttons,Metal items are Non-burnable Garbage.,B
General Garbage,Baseball balls (soft and hard),,B
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Bowling balls,Place with boxes or bags so it wasn't roll on to the road.,B
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Bowls (tableware) (metal),Things made of plastic are Oversized Burnable Garbage.,B
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Ballpoint pens (metal),It is General Garbage unless it is made of metal.,B
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Buttons (metal),It is General Garbage unless it is made of metal.,B
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Book shelves (metal),It is Oversized Burnable Garbage unless it is made of metal.,B
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Brooms,,B
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Bowls (tableware),Metal items are Non-burnable Garbage.,B
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Book shelves,Metal items are Non-burnable Garbage.,B
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Blenders,,B
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Blankets,,B
General Garbage,Backpack,,B
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Backpack,,B
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Baked goods containers (metal),If it is dirty or rusty&#44; it is Non-burnable.,B
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Bird cage (metal),,B
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Bottle lids,Metal items are Non-burnable Garbage.,B
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Bottle lids,Metal items are Non-burnable Garbage.,B
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Balance scales,Residential use scales only.,B
General Garbage,Cooking oil,Solidify the oil or absorb it with paper.,C
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Cans ,Rinse the inside out with water and remove the lid.,C
General Garbage,Clothing,Things with no lining should be put in the assigned collecting place.,C
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Clothes case (metal),Things made of wood or plastic are Oversized Burnable Garbage.,C
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Chair (metal),Things made of wood or plastic are Oversized Burnable Garbage.,C
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Casting pan,,C
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Container for drink (can&#44; glass&#44; plastic),Rinse the inside out with water and remove the lid and sorty them by type. ,C
