type,name,notice,furigana
古紙,厚紙,,あ
古紙,絵本,,あ
古紙,折込広告,,あ
古紙,カタログ類,,か
古紙,カレンダー,金具は「燃えないごみ」,か
古紙,広告紙,,か
古紙,コピー用紙,,か
古紙,雑誌,濡らさないように、紙ひもで縛って出す,さ
古紙,辞書・辞典,紙ひもで縛って出す,さ
古紙,新聞紙,紙ひもで縛って出す,さ
古紙,単行本,,た
古紙,段ボール,ガムテープ・金具は取り外す,た
古紙,チラシ,,た
古紙,ノート,,な
古紙,はがき,,は
古紙,半紙,,は
古紙,便箋,,は
古紙,包装紙,,は
古紙,ポスター,,は
古紙,みかん箱,果物、野菜の箱含む,ま
古着,衣類,できるだけ指定回収施設へ,あ
古着,飲料用紙パック,中を洗って切り開き、乾かしてから出す　※内側が銀色のものは「一般ごみ」,あ
古着,紙パック,中を切り開き、乾かしてから出す　※内側が銀色のものは「一般ごみ」,か
古着,牛乳パック,中を洗って切り開き、乾かしてから出す,か
古着,シーツ,洗濯してください,さ
古着,スーツ,裏地のあるものは「一般ごみ」,さ
古着,セーター,,さ
古着,タオル,きれいなもの,た
古着,Tシャツ,汚れたものは「一般ごみ」,た
古着,布,,な
古着,ゆかた,,や
自己処理,アスファルト,販売店等にお問合せください,あ
自己処理,畔シート,販売店等にお問合せください,あ
自己処理,油（食用以外）,販売店等にお問合せください,あ
自己処理,石（漬物石等）,販売店等にお問合せください,あ
自己処理,犬猫のふん,できるだけトイレに流す　※フンの放置はやめましょう,あ
自己処理,衣類乾燥機（家電リサイクル法対象）,販売店等に引き取ってもらってください。詳細は、家庭ごみの収集日程と分け方を参照,あ
自己処理,植木,なるべく販売店等に引き取ってもらってください。ごみに出す場合は、直径10ｃｍ×１ｍ以下に切って束ねて出す,あ
自己処理,エアコン（家電リサイクル対象）,ウィンドウタイプも含みます。販売店等に引き取ってもらってください。詳細は、「家庭ごみ分け方・出し方」参照,あ
自己処理,液晶テレビ,販売店等に引き取ってもらってください。詳細は、「家庭ごみ分け方・出し方」参照,あ
自己処理,枝（業者に依頼したもの）,業者に引き取ってもらってください,あ
自己処理,ＬＰガスのボンベ,販売店等にお問合せください,あ
自己処理,エンジン,販売店等にお問合せください,あ
自己処理,オイル（食用以外）,販売店等にお問合せください,あ
自己処理,オイル缶,中身が残っている場合は「自己処理」,あ
自己処理,オイルヒーター,販売店等にお問合せください,あ
自己処理,オートバイ,販売店等にお問合せください,あ
自己処理,ガス風呂温水器,販売店等にお問合せください,か
自己処理,ガスボンベ（LPG）,販売店等にお問合せください,か
自己処理,ガソリン,販売店等にお問合せください,か
自己処理,瓦,販売店等にお問合せください,か
自己処理,牛乳びん,配達分は販売店等に返却してください,か
自己処理,金庫（手提げ金庫程度）,耐火金庫等一人で運べないものは自己処理,か
自己処理,クーラー（エアコン）（家電リサイクル法対象）,販売店等に引き取ってもらってください。詳細は、「家庭ごみ収集日と分け方」参照,か
自己処理,草刈り機,販売店等にお問合せください,か
自己処理,携帯電話,販売店等にお問合せください,か
自己処理,建築廃材,販売店等にお問合せください,か
自己処理,耕耘機（耕運機）,販売店等にお問合せください,か
自己処理,コンクリート・ブロック,販売店等にお問合せください,か
自己処理,酸素ボンベ,販売店等にお問合せください,さ
自己処理,自動車及び部品,販売店等にお問合せください,さ
自己処理,消火器,「廃消火器リサイクルシステム」を利用して適正に処理してください。詳細は家庭ごみ収集日と分け方を参照,さ
自己処理,食品トレイ,発泡スチロール製トレイは、なるべくスーパー等の回収箱をご利用ください,さ
自己処理,シンナー,販売店等にお問合せください,さ
自己処理,洗濯機（家電リサイクル法対象）,販売店等に引き取ってもらってください。詳細は、「家庭ごみ分け方・出し方」参照,さ
自己処理,タイヤ・チューブ、ホイール（自動車用）,販売店等にお問合せください,た
自己処理,田植え機,販売店等にお問合せください,た
自己処理,注射針,回収薬局へ引取りを依頼してください。詳細は、家庭ごみ収集日と分け方を参照,た
自己処理,テレビ(家電リサイクル対象),販売店等に引き取ってもらってください。詳細は家庭ごみ収集日と分け方参照,た
自己処理,電気温水器,販売店等にお問合せください,た
自己処理,バイク,販売店等にお問合せください,は
自己処理,廃油（食用以外）,販売店等にお問合せください,は
自己処理,パソコン（家庭用）,製造メーカーにお問合せください,は
自己処理,バッテリー,販売店等にお問合せください,は
自己処理,ピアノ,販売店等にお問合せください,は
自己処理,肥料,販売店等にお問合せください,は
自己処理,ブロック,販売店等にお問合せください,は
自己処理,プロパンガスのボンベ,販売店等にお問合せください,は
自己処理,ペンキ・塗料,販売店等にお問合せください,は
自己処理,ボイラー,販売店等にお問合せください,は
自己処理,ポンプ,エンジン付は販売店等にお問合せください,は
自己処理,物置,販売店等にお問合せください,ま
自己処理,物干し台,販売店等にお問合せください,ま
自己処理,薬品（劇薬類）,販売店等にお問合せください,や
自己処理,浴槽,販売店等にお問合せください,や
自己処理,レンガ,販売店等にお問合せください,や
