地名,センター,一般ごみ,燃えないごみ・あきかん・あきびん・容器包装プラスチック,燃える粗大ごみ・ペットボトル・容器包装プラスチック
本町１丁目,東部管理センター,月 木,火1,火3
本町２丁目,東部管理センター,月 木,火1,火3
本町３丁目,東部管理センター,火 金,水1,水3
本町４丁目,東部管理センター,火 金,水1,水3
本町５丁目,東部管理センター,水 土,木1,木3
本町６丁目,東部管理センター,水 土,木1,木3
若松町,東部管理センター,月 木,火1,火3
横宮町,東部管理センター,月 木,火1,火3
押野,東部管理センター,月 木,火1,火3
高橋町,東部管理センター,月 木,火2,火4
扇が丘,東部管理センター,月 木,火2,火4
住吉町,東部管理センター,月 木,火2,火4
菅原町,東部管理センター,月 木,火2,火4
菅原団地,東部管理センター,月 木,火2,火4
白山町,東部管理センター,火 金,水1,水3
粟田,東部管理センター,火 金,水1,水3
矢作,東部管理センター,火 金,水1,水3
藤平田,東部管理センター,火 金,水1,水3
下林,東部管理センター,火 金,水1,水3
中林,東部管理センター,火 金,水2,水4
新庄,東部管理センター,火 金,水2,水4
藤平,東部管理センター,火 金,水2,水4
上林,東部管理センター,火 金,水2,水4
清金,東部管理センター,火 金,水2,水4
末松,東部管理センター,火 金,水2,水4
柳町,東部管理センター,火 金,水2,水4
三納,東部管理センター,水 土,木1,木3
位川,東部管理センター,水 土,木1,木3
太平寺,東部管理センター,水 土,木1,木3
稲荷,東部管理センター,水 土,木1,木3
堀内,東部管理センター,水 土,木1,木3
押越,東部管理センター,水 土,木1,木3
田尻町,東部管理センター,水 土,木2,木4
三日市町,東部管理センター,水 土,木2,木4
二日市町,東部管理センター,水 土,木2,木4
徳用町,東部管理センター,水 土,木2,木4
郷町,東部管理センター,水 土,木2,木4
蓮花寺町,東部管理センター,水 土,木2,木4
長池,東部管理センター,水 土,木2,木4
野代,東部管理センター,水 土,木2,木4
あすなろ団地,東部管理センター,水 土,木2,木4
御経塚,東部管理センター,水 土,木2,木4
